program_name,q,a
청년 임차보증금 이자지원사업,신청은 어떻게 하나요?,서울주거포털(http://housing.seoul.go.kr)에서 ‘청년 임차보증금 이자지원’메뉴로 들어가셔서 신청하시면 됩니다.
청년 임차보증금 이자지원사업,추천서 발급 신청결과는 언제 알 수 있나요?,"‘마이페이지' 내 청년 임차보증금 지원현황에서 신청 확인, 수정, 신청취소, 추천서 출력을 하실 수 있습니다. 신청이 완료된 경우 지원현황에 작성완료로 표시되며, 서울시 심사완료 후에는 신청자 휴대전화로 SMS(카카오톡 알림톡)가 발송됩니다.
※ 신청완료 후 통신상태 불량, 모바일/PC에서 파일 업로드 중 오류 등으로 인해 파일 첨부가 누락되는 경우가 있으므로[서울주거포털 - 마이페이지 - 청년 임차보증금 이자지원 신청내역]에서 파일 첨부가 올바르게 되었는지 반드시 확인하기 바랍니다.
※ 작성완료 후 ‘수정’버튼을 누르면 최종 수정한 시간이 최종적으로 작성완료한 시간으로 산정되므로 심사 순서가 바뀌게 됩니다. 따라서, 작성완료 후 수정 사항이 없다면 가급적 수정버튼 누르는 것은 지양 하십시오.
※ 추천서 발급은 신청 순으로 진행되므로 신청 후 유선 문의 등으로 빠른 심사를 요청하더라도 불가합니다."
청년 임차보증금 이자지원사업,심사결과가 '승인거부'가 나왔을 때는?,"신청 완료 후 심사 부적격 사유 발생 시(필요 서류 미 첨부, 보완 서류 필요 등)‘승인거부’처리 됩니다. 심사 결과가 ‘승인거부’일 시에는 마이페이지에서 수정 버튼을 누른 후 거부사유를 보완하면 재심사요청이 됩니다. 재심사요청 시에도 심사는 재심사 요청 기준 일로부터 근무일 기준 3일 내외가 소요되오니 시간적인 여유를 가지고 신청하시기 바랍니다."
청년 임차보증금 이자지원사업,타지역 거주자도 신청가능한가요?,"계약하신 임차물건이 서울시 관내에 위치한다면 신청 가능합니다. 단, 「주택임대차보호법」 관련 대항력 취득을 위해 입주일(잔금일)에 즉시 전입신고 및 확정일자를 받으시고, 관련 서류를 대출 은행의 요청에 따라 제출 하셔야 합니다."
청년 임차보증금 이자지원사업,소득이 없어도 추천서를 받으면 대출이 가능한가요?,"미혼인 경우, 신청자의 연소득이 4천만원 이하인 청년만 신청가능합니다(무소득자 가능)."
청년 임차보증금 이자지원사업,무소득자의 경우 어떤 서류를 제출해야 하나요?,소득이 없는 경우는 국세청 홈텍스에서‘사실증명(신고 사실없음)'을 발급받아 제출하시면 됩니다.
청년 임차보증금 이자지원사업,"연소득 기준은 세전인가요, 세후인가요?","세전 연소득을 기준으로 하며, 연소득에는 상여금, 포상금 등도 모두 포함됩니다."
청년 임차보증금 이자지원사업,근로 여부에 따라 어떤 유형으로 신청해야 할까요?,"① 현재 근로 중이라면 ‘근로청년'으로 지원하시면 됩니다. 현재 건강보험자격득실확인서에 '직장가입자로 등록 되어있거나, 직장가입자로 등록되어 있지 않더라도 현재 직장에 근로계약이 되어있거나(근로계약서 제출 필요), 개인 사업자로 등록된 경우에도 ‘근로청년'에 해당합니다.
② 현재 근로 중이 아닐지라도, 과거 및 현재 직장가입자 기간의 합 혹은 근로계약서 등으로 증명 가능한 근로 기간의 합이 1년 이상이거나, 부모소득의 합계가 7천 만원 이하이면 ‘취업 준비생 등'으로 지원하시면 됩니다."
청년 임차보증금 이자지원사업,현재 만 39세이고 곧 만 40세가 되는데 추천서 발급이 가능한가요?,"['22.3.31. 까지 대출실행자]
은행내규 상 대출일 기준 만 39세인 기간이 6개월 이상 남아있으셔야 남은 기간을 주택임대차계약기간 및 대출 기간으로 하여 대출실행과 서울시 이자지원이 가능합니다. 만 40세 도래로 인한 대출기간 만료 이후의 대출상품 유지에 관하여는 은행과 상담하여 주시기 바랍니다.
※ 서울시 이자지원은 만 40세가 되는 날부터 중단됩니다.
['22.4.1.이후 대출실행자]
만 40세가 되는 날이 포함된 임대차 계약기간 종료일(최대 2년)까지 대출실행과 이자지원이 가능합니다."
청년 임차보증금 이자지원사업,대출 실행 후 1개월 이내 주민등록등본상 세대주 예정자 범위는?,"추천서 신청 시점 및 대출신청 시점에 신청자 본인이 주민등록등본상 세대주이거나, 다음 중 어느 하나에 해당하는 세대주의 세대원이어야 함 (아래 그림에서 노란색 음영범위에 속해야 함)
① 배우자
② 본인 및 배우자의 직계존속
③ 본인 및 배우자의 형제자매
※ '25.11.20. 신규 대출 신청자부터 적용
※ 다만 신청자가 세대원인 경우에는 대출실행 1개월 이내 주민등록등본상 세대주 자격을 취득하여야 함."
