id,program_name,category_primary,category_secondary,description,url_pdf,age_min,age_max,income_type,income_max,household_size,residence_required,employment_status,house_type,special_conditions,support_type,support_amount,support_duration,support_details,application_period,how_to_apply,contact,difficulty_level,
1,서울형 청년인턴 직무캠프,일자리,인턴십·일경험,서울시-기업 협업으로 청년 직무역량 교육(사전직무교육·직장적응교육)과 인턴십(4개월)을 제공하고 취업을 연계하는 사업,https://youth.seoul.go.kr/content.do?key=2310100012,18.0,34.0,해당없음,,,서울,"구직자(미취업)만 가능, 재·휴학자 제외(졸업예정자는 가능)",,"외국인: 서울 소재 대학 졸업, D-10, 체류기간 2025-12-31까지, 인턴 4개월 가능, TOPIK 4~6급. 우대: 기초생활·차상위·한부모·북한이탈·장애·보훈취업지원·자립준비청년, 쉼터퇴소/가정밖/청소년부모/가족돌봄/중도입국청소년 등",교육·인턴십·임금,"시급 11,779원(서울형생활임금), 월급여는 근무일수 등에 따라 상이, 4대보험","사전직무교육 80~100시간, 직장적응교육 20시간, 인턴십 4개월(7~10월 예정)","예치금 10만원(교육 80% 이상 수료 시 환급), 근로시간 1일 8시간/주40시간, 연장·야간·휴일근로 원칙적 금지(예외시 가산수당·휴일대체), 근로계약은 서울시-청년인턴 간 체결",2025-04-01 10:00 ~ 2025-04-14 17:00,"직무분야별 운영기관 채널 접수: 경영사무 https://vo.la/WskKXD, 영업·광고·마케팅 https://miniintern.com/event/2881, 국제협력 https://seoul.ninehire.site","경영사무 02-6262-9354(9707), 02-2133-9344(9346); 영업광고마케팅 010-4670-3056, 02-2133-5523(9343); 국제협력 02-760-8818(8820), 02-2133-9350; 공통 이메일 amore@seoul.go.kr",3,
2,2025년 서울시 청년 골목창업 경진대회,창업,창업경진대회,예비·초기 청년창업가 대상 경진대회: 시연·컨설팅·창업자금·네트워킹 제공,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000108562,19.0,39.0,,,,예비: 서울 거주 / 초기: 사업장 서울,예비창업가 또는 창업 3년 미만 초기창업가,,의무복무 제대군인 최대 3년 연령 상한 연장,창업자금·융자·컨설팅·네트워킹,"창업자금 최대 1,600만원(예비), 1,700만원(초기); 융자 최대 7,000만원","오리엔테이션(6/23), 1차 경진(7/7~8), 2차 경진(10/20) 등 7~10월 진행","재무회계·브랜드 컨설팅, 현장 워크숍, 로컬인사이트 투어, 선배창업가 특강",2025-04-28 10:00 ~ 2025-05-16 17:00,온라인 신청(originality-seoul.kr),"운영사무국 originality-seoul@urbanplay.co.kr, 010-9781-3639",3,
3,2025년 서울시 청년 마음건강 지원사업(4차),마음건강,심리상담,"19~39세 서울 청년 대상 맞춤형 심리상담(간이검사, 6회기 자기이해 상담 등)",https://youth.seoul.go.kr/bbs/view.do?pstSn=2508240001&key=2303300002&sc_detailAt=&pageIndex=1&orderBy=regYmd+desc&sc_wDateS=&sc_wDateE=&sc_bbsCtgrySn=0&sc=&sw=&recordCountPerPage=10,19.0,39.0,,,,서울,,,제대군인 복무기간 만큼 연령 상한 연장 가능,심리검사·상담,"KSCL95 간이검사 무료, 1:1 상담 6회기 제공","검사→분석→상담배정→6회기 상담, 12월 14일까지","TCI 검사 안내, 유형군 분류에 따른 맞춤 프로그램",2025-09-04 10:00 ~ 2025-09-11 17:00,청년몽땅정보통(youth.seoul.go.kr) 온라인 신청,"서울시 다산콜센터 120, 청년몽땅정보통",2,
5,서울 청년 예비인턴 사업,일자리,인턴십·일경험,대학(원) 재·휴학생 청년 대상 직무교육 후 4개월 인턴 근무 제공,https://youth.seoul.go.kr/youthConts.do?key=2404040001&sc_pbancSeCd=022&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2404150015&sc_qnaCtgryCd=&sc_faqCtgryCd=019,19.0,39.0,,,,서울 거주 또는 서울 소재 대학(원) 재·휴학,대학(원) 재·휴학생(졸업생 참여 불가),,"제대군인 연령 상한 연장 가능, 우대: 취업취약계층·청년부상 제대군인·4학기 이상",교육·인턴십·임금,"시급 11,779원, 월 최대 2,461,810원(4대보험 포함)","사전교육 7/16~7/31, 인턴 8~11월(4개월)","1일 8시간 주5일, 주휴·4대보험, 서울시가 월 1회 직접 지급",2025-06-02 ~ 2025-06-16 18:00,청년몽땅정보통(youth.seoul.go.kr) 온라인 신청,"운영사무국 02-2275-2558, 서울시 청년정책담당관 02-2133-4308",3,
6,2025 서울시 취업날개 서비스 지원,일자리,취업지원서비스,구직 청년의 면접정장 무료대여(연간 최대 10회)를 지원하는 상시 사업.,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250315005400210612&tab=001&key=2309150002&sc_detailAt=&pageIndex=12&orderBy=regYmd+desc&blueWorksYn=N&tabKind=002&sw=,18.0,39.0,,,,서울,구직청년(고교졸업예정자~39세),,"실제 회사 면접 참여 시에만 인정, 증빙 서류 필수(면접확인/통보자료)",물품대여,면접정장 무료 대여 연간 최대 10회,"대여기간 3박4일, 사업기간 2025-01-01~2025-12-31",운영기관 12개 지점(마이스윗인터뷰·열린옷장·체인지레이디·슈트갤러리·스완제이·야베스컬렉션·드림윙즈·종로신사·달콤정장)에서 대여,2025-01-01 ~ 2025-12-31,서울일자리포털 통합회원 가입 후 로그인하여 온라인 신청,"지점별 문의: 마이스윗인터뷰(영등포 0507-1412-3027, 천호 0507-1413-3027), 열린옷장(건대 02-6929-1020), 체인지레이디(왕십리·강남 02-6204-1517), 슈트갤러리(회기 02-363-6009), 야베스컬렉션(이수 02-1833-5389), 드림윙즈(홍대 02-547-4782), 달콤정장(성북 0507-1388-8420), 스완제이(노원 010-7578-7108, 신림 010-9808-7108), 종로신사(종로 02-743-1850)",1,
7,2025 서울 매력일자리 참여자 모집,일자리,인턴십·일경험,전문분야 현장경험을 쌓아 민간 일자리 취업을 목표로 하는 현장형 일경험·채용연계 프로그램.,https://youth.seoul.go.kr/api/jobNewDealBiz/list.do?key=2309240002,18.0,,,,,서울,"현재 실업 상태, 근로계약 시작 전",,,일경험·채용연계,,,"서울일자리포털 공고 기준. 분야별 직무캠프·현장경험 운영, 민간일자리 채용 연계.",2025-01-06 ~ 2025-01-10,서울일자리포털(job.seoul.go.kr) → 서울매력일자리 모집공고에서 온라인 신청,02-1588-9142(서울일자리센터),2,
8,2025 서울 청년 취업 멘토링 페스타,일자리,취업지원행사,서울 청년 대상 오프라인 멘토링·특강·상담 등 일자리 연계 행사(청년정책 팝업스토어 연계).,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?key=2309150002&plcyBizId=20250618005400211019,18.0,39.0,,,,서울 거주 권장(행사 세부 공고 기준),제한없음,,,멘토링·이벤트,,행사 당일 진행(세부 일정 공고 참조),멘토링/상담/특강과 청년정책 팝업스토어 운영(카드뉴스 참고).,2025. 6. 19. ~ 2025. 6. 21,세부 안내 공고 페이지(서울청년포털·서울일자리포털) 참조,운영 사무국 02-3406-2812,1,
9,서울형 이음공제,생활·금융,저축지원,"청년의 자산형성을 돕는 매칭 적립·공제 지원(근로소득 기반, 조건 충족 시 매칭·장려금 지급).",https://news.seoul.go.kr/economy/archives/567880,19.0,39.0,근로소득 기준(공고 기준),,,서울 거주 또는 서울 소재 사업장 근로(공고 기준),근로 중 청년(상세 요건 공고 참조),,"저축기간·불입액 충족, 중도해지 제한 등",매칭적립·공제,본인 저축액에 시·기업 매칭(세부 금액 공고 참조),"저축기간(예: 1~3년, 공고 참조)",중도해지/자격상실 시 감액·환수 기준 존재,25. 8. ~ 예산 소진 시 까지,공고문 내 지정 포털/방문 접수,공고문의 사업 담당부서 연락처 참조,3,
10,2025년 겨울 서울시 행정체험단,일자리,인턴십·일경험,"서울시 실무 부서에서 단기간 행정 현장 체험 제공(시급 지급, 주휴 포함).",https://www.gwanak.go.kr/site/gwanak/ex/reservation/re00403.do?riIdx=RI002731&riType=A,18.0,34.0,,,,서울 거주 또는 서울 소재 대학 재학(공고 기준),대학생·청년 등(세부 자격 공고 참조),,"중복참여 제한, 학기 중/방학 구분 등",단기일경험·임금,서울형 생활임금 수준 시급(공고 기준),동계 방학 기간 중(예: 4~6주),"주5일 1일 8시간 원칙, 4대보험·주휴수당 적용 기준 공고 참조",2024. 12. 17. 10:00 ~ 12. 20. 18:00,서울일자리포털 또는 지정 시스템 온라인 신청,서울시 청년정책/일자리 부서,2,
12,외로움 없는 서울,마음건강,정책·종합계획,시민의 외로움 해소·사회적 연결 강화를 위한 캠페인·상담·네트워킹·프로그램.,https://www.seoul.go.kr/policy/view.do?id=1056&lan=KO,,,,,,서울,,,,상담·연계·캠페인,,연중,"상담연계, 지역 네트워크 프로그램 등(자료 참조)",연중 수시,자료 내 안내 채널,서울시 관련 부서(자료 참조),1,
